Obj이름 	X 좌표 		Y 좌표		 Z 좌표

[Start]	170.082		-178.132		-3.162
01	170.082		-106.462		-4.697
02	170.082		-34.793		-4.697
03	170.082		34.356		-4.697
04	170.082		100.532		-4.697
[05]	170.082		170.997		-3.162
06	99.945		170.997		-4.697
07	33.769		170.997		-4.697
08	-35.379		170.997		-4.697
09	-107.049		170.997		-4.697
[10]	-179.01		170.997		-3.162
11	-179.01		100.532		-4.697
12	-179.01		34.356		-4.697
13	-179.01		-34.793		-4.697
14	-179.01		-106.462		-4.697
[15]	-179.01		-178.132		-3.162
16	-107.314		-178.132		-4.697
17	-35.644		-178.132		-4.697
18	33.504		-178.132		-4.697
19	99.68		-178.132		-4.697
05_01	100.758		106.77		-4.697
05_02	53.965		59.976		-4.697
[05_03]	0		0		-3.162
05_04	59.976		-53.965		-4.697
05_05	106.77		-100.758		-4.697
10_01	-106.77		100.758		-4.697
10_02	-59.976		53.965		-4.697
10_03	-53.965		-53.965		-4.697
10_04	-100.758		-106.77		-4.697






